"";"WAP005";"WAP006";"WAP011";"WAP012";"WAP018";"WAP059";"WAP060";"WAP061";"WAP062";"WAP063";"WAP064";"WAP065";"WAP066";"WAP067";"WAP068";"WAP069";"WAP070";"WAP073";"WAP074";"WAP077";"WAP078";"WAP082";"WAP083";"WAP084";"WAP085";"WAP087";"WAP096";"WAP097";"WAP098";"WAP099";"WAP107";"WAP108";"WAP109";"WAP110";"WAP111";"WAP112";"WAP113";"WAP114";"WAP115";"WAP116";"WAP117";"WAP118";"WAP121";"WAP122";"WAP127";"WAP128";"WAP131";"WAP132";"WAP138";"WAP139";"WAP140";"WAP141";"WAP144";"WAP145";"WAP146";"WAP147";"WAP157";"WAP164";"WAP165";"WAP174";"WAP175";"WAP176";"WAP177";"WAP180";"WAP181";"WAP186";"WAP187";"WAP188";"WAP189";"WAP195";"WAP196";"WAP197";"WAP198";"WAP199";"WAP200";"WAP203";"WAP204";"WAP212";"WAP214";"WAP216";"WAP218";"WAP219";"WAP228";"WAP229";"WAP230";"WAP231";"WAP232";"WAP233";"WAP234";"WAP235";"WAP236";"WAP237";"WAP249";"WAP250";"WAP258";"WAP260";"WAP261";"WAP274";"WAP277";"WAP279";"WAP282";"WAP284";"WAP286";"WAP305";"WAP313";"WAP315";"WAP316";"WAP318";"WAP329";"WAP332";"WAP335";"WAP338";"WAP340";"WAP342";"WAP351";"WAP362";"WAP369";"WAP371";"WAP372";"WAP386";"WAP389";"WAP391";"WAP394";"WAP396";"WAP398";"WAP413";"WAP417";"WAP418";"WAP420";"WAP422";"WAP424";"WAP425";"WAP428";"WAP430";"WAP431";"WAP432";"WAP435";"WAP436";"WAP437";"WAP439";"WAP440";"WAP448";"WAP449";"WAP450";"WAP453";"WAP454";"WAP455";"WAP456";"WAP457";"WAP460";"WAP461";"WAP462";"WAP463";"WAP465";"WAP467";"WAP469";"WAP471";"WAP472";"WAP473";"WAP474";"WAP476";"WAP477";"WAP478";"WAP479";"WAP480";"WAP481";"WAP483";"WAP484";"WAP486";"WAP489";"WAP492";"WAP493";"WAP495";"WAP496";"WAP498";"WAP499";"WAP501";"WAP502";"WAP503";"WAP504";"WAP505";"WAP506";"WAP507";"WAP508";"WAP509";"WAP511";"WAP512";"WAP513";"WAP514";"WAP516";"WAP517";"WAP518";"LONGITUDE";"LATITUDE";"FLOOR";"BUILDINGID";"SPACEID";"RELATIVEPOSITION";"USERID";"PHONEID";"TIMESTAMP";"pred_2"
"1";-105;-105;-87;-87;-105;-105;-105;-105;-105;-105;-105;-94;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-88;-87;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-95;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-91;-105;-105;-57;-56;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-95;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-89;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-7383,86722098221;4864839,74030718;4;2;0;0;0;13;1381155054;"3"
"2";-105;-105;-73;-72;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-79;-78;-105;-105;-52;-54;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-95;-105;-105;-105;-105;-105;-95;-105;-105;-105;-105;-105;-96;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-94;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-7374,30207994063;4864846,5337223;4;2;0;0;0;13;1381155095;"3"
"3";-105;-105;-77;-75;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-80;-79;-105;-105;-62;-63;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-74;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-93;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-7365,82488255054;4864842,82925374;4;2;0;0;0;13;1381155138;"3"
"4";-105;-105;-105;-105;-105;-105;-105;-105;-105;-85;-105;-76;-105;-105;-105;-85;-105;-105;-105;-105;-79;-105;-105;-105;-105;-82;-105;-105;-82;-76;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-58;-58;-105;-105;-67;-73;-73;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-70;-105;-105;-105;-82;-105;-105;-61;-105;-55;-76;-49;-105;-55;-70;-49;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-7338,80721041877;4864825,46686278;2;2;0;0;0;12;1380874853;"2"
"5";-105;-105;-53;-53;-105;-105;-105;-105;-105;-79;-78;-105;-105;-105;-105;-105;-93;-105;-90;-90;-105;-105;-105;-72;-74;-81;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-80;-82;-105;-105;-105;-105;-83;-83;-80;-70;-62;-63;-105;-105;-105;-105;-75;-75;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-71;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-68;-105;-105;-105;-84;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-7379,35168267689;4864849,20148919;3;2;0;0;0;20;1380874982;"3"
"6";-105;-105;-105;-105;-105;-90;-88;-105;-105;-49;-48;-77;-75;-105;-105;-105;-105;-105;-105;-105;-105;-95;-94;-88;-88;-94;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-96;-105;-105;-105;-90;-77;-105;-105;-93;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-88;-58;-105;-105;-105;-105;-105;-105;-105;-105;-105;-85;-61;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-7340,55877713109;4864758,91885997;3;2;0;0;0;21;1380875085;"3"
"7";-105;-105;-105;-105;-105;-105;-105;-55;-55;-79;-79;-70;-67;-105;-105;-105;-105;-67;-73;-70;-70;-82;-82;-82;-85;-70;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-82;-82;-85;-105;-105;-82;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-82;-105;-105;-105;-105;-105;-76;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-79;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-67;-82;-73;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-7357,53125290646;4864765,84751079;2;2;0;0;0;12;1380875092;"2"
"8";-105;-105;-105;-105;-105;-87;-86;-105;-105;-88;-89;-105;-105;-75;-105;-90;-83;-88;-89;-105;-105;-105;-105;-105;-105;-92;-40;-41;-79;-79;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-91;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-66;-65;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-77;-105;-105;-72;-89;-105;-105;-54;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-7345,08516990931;4864830,81747028;0;2;0;0;0;20;1380875118;"0"
"9";-105;-105;-105;-105;-105;-105;-105;-46;-43;-79;-79;-61;-58;-105;-105;-105;-105;-67;-67;-70;-70;-82;-85;-82;-105;-64;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-82;-85;-105;-105;-85;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-82;-105;-105;-105;-105;-105;-85;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-79;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-73;-85;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-7344,1826568295;4864754,24874242;2;2;0;0;0;12;1380875120;"2"
"10";-105;-105;-90;-105;-105;-81;-79;-91;-105;-105;-105;-90;-105;-105;-95;-74;-70;-82;-81;-105;-105;-105;-105;-89;-105;-105;-69;-70;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-71;-70;-105;-105;-78;-82;-105;-105;-105;-91;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-74;-52;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-83;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-85;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-93;-105;-105;-71;-92;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-105;-7372,66404147576;4864844,41964526;0;2;0;0;0;20;1380875159;"1"
