"";"LONGITUDE";"LATITUDE";"FLOOR";"BUILDINGID";"SPACEID";"RELATIVEPOSITION";"USERID";"PHONEID";"TIMESTAMP";"max_wap";"max_wap_value";"gps_coords"
"1";-7541,26429999992;4864920,7782;2;1;106;2;2;23;2013-06-20 07:35:33;"WAP173";-53;"-7541.26429999992,4864920.7782"
"2";-7536,621199999;4864934,2252;2;1;106;2;2;23;2013-06-20 07:34:51;"WAP090";-46;"-7536.621199999,4864934.2252"
"3";-7519,15239999816;4864949,5322;2;1;103;2;2;23;2013-06-20 07:41:35;"WAP172";-61;"-7519.15239999816,4864949.5322"
"4";-7524,57039999962;4864934,093;2;1;102;2;2;23;2013-06-20 07:36:47;"WAP172";-55;"-7524.57039999962,4864934.093"
"6";-7533,89620000124;4864939,2583;2;1;105;2;2;23;2013-06-20 07:37:21;"WAP172";-55;"-7533.89620000124,4864939.2583"
"7";-7519,15239999816;4864949,5322;2;1;103;2;2;23;2013-06-20 07:38:03;"WAP090";-65;"-7519.15239999816,4864949.5322"
"8";-7527,45109999925;4864929,1464;2;1;101;2;2;23;2013-06-20 07:36:15;"WAP172";-62;"-7527.45109999925,4864929.1464"
"9";-7559,497299999;4864887,6504;2;1;112;2;2;23;2013-06-20 07:45:07;"WAP167";-46;"-7559.497299999,4864887.6504"
"10";-7510,43717321754;4864949,25141671;2;1;103;1;2;23;2013-06-20 07:42:08;"WAP248";-69;"-7510.43717321754,4864949.25141671"
"11";-7528,81640154868;4864959,43061222;2;1;104;1;2;23;2013-06-20 07:43:20;"WAP248";-80;"-7528.81640154868,4864959.43061222"
"12";-7523,62819999829;4864951,9583;2;1;104;2;2;23;2013-06-20 07:42:46;"WAP172";-53;"-7523.62819999829,4864951.9583"
"13";-7571,09340000153;4864871,7184;2;1;110;2;2;23;2013-06-20 07:46:33;"WAP166";-52;"-7571.09340000153,4864871.7184"
"14";-7559,78200000152;4864871,3735;2;1;108;2;2;23;2013-06-20 07:47:47;"WAP166";-49;"-7559.78200000152,4864871.3735"
"15";-7562,18620000035;4864866,7851;2;1;109;2;2;23;2013-06-20 07:47:13;"WAP166";-55;"-7562.18620000035,4864866.7851"
"16";-7564,19629999995;4864887,1932;2;1;111;2;2;23;2013-06-20 07:45:55;"WAP166";-46;"-7564.19629999995,4864887.1932"
"17";-7555,13230000064;4864885,2515;2;1;107;2;2;23;2013-06-20 07:48:29;"WAP170";-49;"-7555.13230000064,4864885.2515"
"18";-7520,72450000048;4864892,4384;2;1;15;2;2;23;2013-06-20 07:52:10;"WAP037";-92;"-7520.72450000048,4864892.4384"
"19";-7521,86718644574;4864889,47709399;2;1;29;1;2;23;2013-06-20 07:53:22;"WAP038";-89;"-7521.86718644574,4864889.47709399"
"20";-7537,33989999816;4864895,7854;2;1;117;2;2;23;2013-06-20 07:49:16;"WAP090";-75;"-7537.33989999816,4864895.7854"
"21";-7526,71092675626;4864892,80180848;2;1;15;1;2;23;2013-06-20 07:52:52;"WAP179";-87;"-7526.71092675626,4864892.80180848"
"22";-7516,08879999816;4864889,8782;2;1;16;2;2;23;2013-06-20 07:55:19;"WAP178";-77;"-7516.08879999816,4864889.8782"
"23";-7512,6041636318;4864884,949544;2;1;16;1;2;23;2013-06-20 07:55:46;"WAP178";-74;"-7512.6041636318,4864884.949544"
"24";-7520,75580000132;4864891,4821;2;1;29;2;2;23;2013-06-20 07:54:39;"WAP178";-85;"-7520.75580000132,4864891.4821"
"25";-7516,84149999917;4864889,291;2;1;28;2;2;23;2013-06-20 07:54:07;"WAP178";-82;"-7516.84149999917,4864889.291"
"26";-7502,44970000163;4864884,1761;2;1;22;2;2;23;2013-06-20 07:56:32;"WAP178";-65;"-7502.44970000163,4864884.1761"
"27";-7489,17749999836;4864899,9449;2;1;10;2;2;23;2013-06-20 07:57:21;"WAP222";-61;"-7489.17749999836,4864899.9449"
"28";-7482,45617602766;4864901,42957994;2;1;10;1;2;23;2013-06-20 07:58:02;"WAP222";-67;"-7482.45617602766,4864901.42957994"
"29";-7491,03063394502;4864865,38593483;2;1;2;1;2;23;2013-06-20 08:00:59;"WAP178";-67;"-7491.03063394502,4864865.38593483"
"30";-7501,22190000117;4864863,0729;2;1;2;2;2;23;2013-06-20 08:00:27;"WAP179";-52;"-7501.22190000117,4864863.0729"
"31";-7480,12409999967;4864894,9306;2;1;10;2;2;23;2013-06-20 07:58:53;"WAP037";-60;"-7480.12409999967,4864894.9306"
"32";-7506,73189999908;4864850,684;2;1;4;2;2;23;2013-06-20 08:02:53;"WAP179";-59;"-7506.73189999908,4864850.684"
"33";-7502,82690000162;4864860,1746;2;1;3;2;2;23;2013-06-20 08:01:44;"WAP178";-53;"-7502.82690000162,4864860.1746"
"34";-7511,73669999838;4864841,6472;2;1;5;2;2;23;2013-06-20 08:03:36;"WAP178";-68;"-7511.73669999838,4864841.6472"
"35";-7516,47450000048;4864844,5972;2;1;6;2;2;23;2013-06-20 08:04:11;"WAP148";-69;"-7516.47450000048,4864844.5972"
"36";-7504,8814000003;4864865,5295;2;1;9;2;2;23;2013-06-20 08:05:59;"WAP178";-47;"-7504.8814000003,4864865.5295"
"37";-7474,65260000154;4864865,9525;2;1;27;2;2;23;2013-06-20 08:09:34;"WAP178";-81;"-7474.65260000154,4864865.9525"
"38";-7506,52930000052;4864862,5543;2;1;8;2;2;23;2013-06-20 08:05:28;"WAP178";-56;"-7506.52930000052,4864862.5543"
"39";-7511,52149999887;4864853,5402;2;1;7;2;2;23;2013-06-20 08:04:50;"WAP179";-61;"-7511.52149999887,4864853.5402"
